date,year,month,month_name,quarter,day_of_week,week_number,is_weekend
2017-09-14,2017,9,September,3,Thursday,37,False
2017-09-15,2017,9,September,3,Friday,37,False
2017-09-16,2017,9,September,3,Saturday,37,True
2017-09-17,2017,9,September,3,Sunday,37,True
2017-09-18,2017,9,September,3,Monday,38,False
2017-09-19,2017,9,September,3,Tuesday,38,False
2017-09-20,2017,9,September,3,Wednesday,38,False
2017-09-21,2017,9,September,3,Thursday,38,False
2017-09-22,2017,9,September,3,Friday,38,False
2017-09-23,2017,9,September,3,Saturday,38,True
2017-09-24,2017,9,September,3,Sunday,38,True
2017-09-25,2017,9,September,3,Monday,39,False
2017-09-26,2017,9,September,3,Tuesday,39,False
2017-09-27,2017,9,September,3,Wednesday,39,False
2017-09-28,2017,9,September,3,Thursday,39,False
2017-09-29,2017,9,September,3,Friday,39,False
2017-09-30,2017,9,September,3,Saturday,39,True
2017-10-01,2017,10,October,4,Sunday,39,True
2017-10-02,2017,10,October,4,Monday,40,False
2017-10-03,2017,10,October,4,Tuesday,40,False
2017-10-04,2017,10,October,4,Wednesday,40,False
2017-10-05,2017,10,October,4,Thursday,40,False
2017-10-06,2017,10,October,4,Friday,40,False
2017-10-07,2017,10,October,4,Saturday,40,True
2017-10-08,2017,10,October,4,Sunday,40,True
2017-10-09,2017,10,October,4,Monday,41,False
2017-10-10,2017,10,October,4,Tuesday,41,False
2017-10-11,2017,10,October,4,Wednesday,41,False
2017-10-12,2017,10,October,4,Thursday,41,False
2017-10-13,2017,10,October,4,Friday,41,False
2017-10-14,2017,10,October,4,Saturday,41,True
2017-10-15,2017,10,October,4,Sunday,41,True
2017-10-16,2017,10,October,4,Monday,42,False
2017-10-17,2017,10,October,4,Tuesday,42,False
2017-10-18,2017,10,October,4,Wednesday,42,False
2017-10-19,2017,10,October,4,Thursday,42,False
2017-10-20,2017,10,October,4,Friday,42,False
2017-10-21,2017,10,October,4,Saturday,42,True
2017-10-22,2017,10,October,4,Sunday,42,True
2017-10-23,2017,10,October,4,Monday,43,False
2017-10-24,2017,10,October,4,Tuesday,43,False
2017-10-25,2017,10,October,4,Wednesday,43,False
2017-10-26,2017,10,October,4,Thursday,43,False
2017-10-27,2017,10,October,4,Friday,43,False
2017-10-28,2017,10,October,4,Saturday,43,True
2017-10-29,2017,10,October,4,Sunday,43,True
2017-10-30,2017,10,October,4,Monday,44,False
2017-10-31,2017,10,October,4,Tuesday,44,False
2017-11-01,2017,11,November,4,Wednesday,44,False
2017-11-02,2017,11,November,4,Thursday,44,False
2017-11-03,2017,11,November,4,Friday,44,False
2017-11-04,2017,11,November,4,Saturday,44,True
2017-11-05,2017,11,November,4,Sunday,44,True
2017-11-06,2017,11,November,4,Monday,45,False
2017-11-07,2017,11,November,4,Tuesday,45,False
2017-11-08,2017,11,November,4,Wednesday,45,False
2017-11-09,2017,11,November,4,Thursday,45,False
2017-11-10,2017,11,November,4,Friday,45,False
2017-11-11,2017,11,November,4,Saturday,45,True
2017-11-12,2017,11,November,4,Sunday,45,True
2017-11-13,2017,11,November,4,Monday,46,False
2017-11-14,2017,11,November,4,Tuesday,46,False
2017-11-15,2017,11,November,4,Wednesday,46,False
2017-11-16,2017,11,November,4,Thursday,46,False
2017-11-17,2017,11,November,4,Friday,46,False
2017-11-18,2017,11,November,4,Saturday,46,True
2017-11-19,2017,11,November,4,Sunday,46,True
2017-11-20,2017,11,November,4,Monday,47,False
2017-11-21,2017,11,November,4,Tuesday,47,False
2017-11-22,2017,11,November,4,Wednesday,47,False
2017-11-23,2017,11,November,4,Thursday,47,False
2017-11-24,2017,11,November,4,Friday,47,False
2017-11-25,2017,11,November,4,Saturday,47,True
2017-11-26,2017,11,November,4,Sunday,47,True
2017-11-27,2017,11,November,4,Monday,48,False
2017-11-28,2017,11,November,4,Tuesday,48,False
2017-11-29,2017,11,November,4,Wednesday,48,False
2017-11-30,2017,11,November,4,Thursday,48,False
2017-12-01,2017,12,December,4,Friday,48,False
2017-12-02,2017,12,December,4,Saturday,48,True
2017-12-03,2017,12,December,4,Sunday,48,True
2017-12-04,2017,12,December,4,Monday,49,False
2017-12-05,2017,12,December,4,Tuesday,49,False
2017-12-06,2017,12,December,4,Wednesday,49,False
2017-12-07,2017,12,December,4,Thursday,49,False
2017-12-08,2017,12,December,4,Friday,49,False
2017-12-09,2017,12,December,4,Saturday,49,True
2017-12-10,2017,12,December,4,Sunday,49,True
2017-12-11,2017,12,December,4,Monday,50,False
2017-12-12,2017,12,December,4,Tuesday,50,False
2017-12-13,2017,12,December,4,Wednesday,50,False
2017-12-14,2017,12,December,4,Thursday,50,False
2017-12-15,2017,12,December,4,Friday,50,False
2017-12-16,2017,12,December,4,Saturday,50,True
2017-12-17,2017,12,December,4,Sunday,50,True
2017-12-18,2017,12,December,4,Monday,51,False
